state,county,lat,long
TN,GIBSON,35.9966,-88.9326
TN,DICKSON,36.1491,-87.3567
NC,LENOIR,35.2393,-77.6416
MO,JEFFERSON,38.261,-90.5378
MS,LOWNDES,33.4729,-88.4433
TN,VAN BUREN,35.696,-85.4525
AR,CRAIGHEAD,35.8308,-90.6328
AL,MONTGOMERY,32.2202,-86.2076
ND,KIDDER,46.9802,-99.7801
KY,DAVIESS,37.7318,-87.0873
PA,LEHIGH,40.6129,-75.5924
GA,MITCHELL,31.2254,-84.1942
TN,GILES,35.2022,-87.0348
AR,LAFAYETTE,33.2408,-93.6073
VA,KING GEORGE,38.2729,-77.1572
KS,WYANDOTTE,39.1145,-94.7646
IN,BARTHOLOMEW,39.2059,-85.8977
IN,ST. JOSEPH,41.6167,-86.2898
OH,MIAMI,40.0534,-84.2289
KY,SPENCER,38.0325,-85.3279
IL,WINNEBAGO,42.3363,-89.1609
NC,NORTHAMPTON,36.4177,-77.3967
TN,SEQUATCHIE,35.3712,-85.4106
MO,LIVINGSTON,39.7821,-93.5483
IL,GREENE,39.3562,-90.3905
NE,GARFIELD,41.9143,-98.9914
LA,BEAUREGARD,30.6485,-93.3434
IL,JACKSON,37.7852,-89.3821
OK,KINGFISHER,35.9454,-97.9421
MO,RANDOLPH,39.4402,-92.4971
GA,DODGE,32.1722,-83.1684
GA,WEBSTER,32.0466,-84.551
NE,POLK,41.1869,-97.5684
GA,EARLY,31.3228,-84.9037
MI,SHIAWASSEE,42.9537,-84.1467
NE,BURT,41.8515,-96.3287
NC,ROWAN,35.6396,-80.5247
VA,CHARLOTTE,37.0116,-78.6616
OH,MUSKINGUM,39.9654,-81.9444
MO,GASCONADE,38.4409,-91.5079
VA,BEDFORD,37.3152,-79.5242
MO,DADE,37.432,-93.8502
IN,HANCOCK,39.8235,-85.7732
GA,HART,34.3511,-82.964
MD,SOMERSET,38.091,-75.8241
NY,SCHOHARIE,42.5882,-74.4421
OH,VAN WERT,40.8554,-84.5861
NC,JOHNSTON,35.5176,-78.3657
OH,ERIE,41.3635,-82.6178
TN,CLAIBORNE,36.4859,-83.6603
AR,DESHA,33.8333,-91.254
OK,MAYES,36.3018,-95.2309
